year,gender,age,population
2008,Female,9--17,102
2008,Female,18--20,114
2008,Female,21--23,136
2008,Female,24--26,95
2008,Female,27--29,85
2008,Female,30--38,109
2008,Female,39--47,24
2008,Female,48+,0
2008,Male,0--8,24
2008,Male,9--17,76
2008,Male,18--20,0
2008,Male,21--23,0
2008,Male,24--26,0
2008,Male,27--29,0
2008,Male,30--38,48
2008,Male,39--47,15
2008,Male,48+,0
2009,Female,0--8,51
2009,Female,9--17,98
2009,Female,18--20,80
2009,Female,21--23,122
2009,Female,24--26,143
2009,Female,27--29,65
2009,Female,30--38,89
2009,Female,39--47,17
2009,Female,48+,0
2009,Male,0--8,56
2009,Male,9--17,41
2009,Male,18--20,15
2009,Male,21--23,0
2009,Male,24--26,0
2009,Male,27--29,0
2009,Male,30--38,14
2009,Male,39--47,0
2009,Male,48+,0
2010,Female,0--8,203
2010,Female,9--17,138
2010,Female,18--20,91
2010,Female,21--23,92
2010,Female,24--26,114
2010,Female,27--29,60
2010,Female,30--38,138
2010,Female,39--47,32
2010,Female,48+,22
2010,Male,0--8,91
2010,Male,9--17,250
2010,Male,18--20,31
2010,Male,21--23,0
2010,Male,24--26,24
2010,Male,27--29,0
2010,Male,30--38,126
2010,Male,39--47,51
2010,Male,48+,0
2011,Female,0--8,64
2011,Female,9--17,242
2011,Female,18--20,189
2011,Female,21--23,143
2011,Female,24--26,132
2011,Female,27--29,88
2011,Female,30--38,196
2011,Female,39--47,67
2011,Female,48+,74
2011,Male,0--8,82
2011,Male,9--17,87
2011,Male,18--20,24
2011,Male,21--23,24
2011,Male,24--26,14
2011,Male,27--29,40
2011,Male,30--38,181
2011,Male,39--47,135
2011,Male,48+,41
2012,Female,0--8,28
2012,Female,9--17,232
2012,Female,18--20,37
2012,Female,21--23,61
2012,Female,24--26,82
2012,Female,27--29,40
2012,Female,30--38,148
2012,Female,39--47,63
2012,Female,48+,29
2012,Male,0--8,12
2012,Male,9--17,139
2012,Male,18--20,0
2012,Male,21--23,25
2012,Male,24--26,28
2012,Male,27--29,59
2012,Male,30--38,235
2012,Male,39--47,128
2012,Male,48+,49
2013,Female,0--8,84
2013,Female,9--17,243
2013,Female,18--20,98
2013,Female,21--23,80
2013,Female,24--26,84
2013,Female,27--29,92
2013,Female,30--38,225
2013,Female,39--47,112
2013,Female,48+,118
2013,Male,0--8,93
2013,Male,9--17,201
2013,Male,18--20,18
2013,Male,21--23,58
2013,Male,24--26,56
2013,Male,27--29,79
2013,Male,30--38,217
2013,Male,39--47,140
2013,Male,48+,115
2014,Female,0--8,54
2014,Female,9--17,190
2014,Female,18--20,130
2014,Female,21--23,136
2014,Female,24--26,156
2014,Female,27--29,193
2014,Female,30--38,669
2014,Female,39--47,262
2014,Female,48+,156
2014,Male,0--8,66
2014,Male,9--17,268
2014,Male,18--20,26
2014,Male,21--23,79
2014,Male,24--26,92
2014,Male,27--29,112
2014,Male,30--38,359
2014,Male,39--47,127
2014,Male,48+,54
2015,Female,0--8,101
2015,Female,9--17,857
2015,Female,18--20,361
2015,Female,21--23,297
2015,Female,24--26,188
2015,Female,27--29,179
2015,Female,30--38,355
2015,Female,39--47,105
2015,Female,48+,122
2015,Male,0--8,92
2015,Male,9--17,102
2015,Male,18--20,43
2015,Male,21--23,116
2015,Male,24--26,176
2015,Male,27--29,191
2015,Male,30--38,586
2015,Male,39--47,292
2015,Male,48+,119
2016,Female,0--8,89
2016,Female,9--17,1320
2016,Female,18--20,620
2016,Female,21--23,435
2016,Female,24--26,401
2016,Female,27--29,226
2016,Female,30--38,534
2016,Female,39--47,161
2016,Female,48+,123
2016,Male,0--8,87
2016,Male,9--17,109
2016,Male,18--20,29
2016,Male,21--23,50
2016,Male,24--26,88
2016,Male,27--29,95
2016,Male,30--38,512
2016,Male,39--47,211
2016,Male,48+,146
2017,Female,0--8,95
2017,Female,9--17,1531
2017,Female,18--20,698
2017,Female,21--23,545
2017,Female,24--26,446
2017,Female,27--29,357
2017,Female,30--38,727
2017,Female,39--47,257
2017,Female,48+,148
2017,Male,0--8,59
2017,Male,9--17,154
2017,Male,18--20,28
2017,Male,21--23,62
2017,Male,24--26,97
2017,Male,27--29,102
2017,Male,30--38,369
2017,Male,39--47,191
2017,Male,48+,104
2018,Female,0--8,13
2018,Female,9--17,130
2018,Female,18--20,45
2018,Female,21--23,62
2018,Female,24--26,20
2018,Female,27--29,21
2018,Female,30--38,79
2018,Female,39--47,18
2018,Female,48+,18
2018,Male,0--8,12
2018,Male,9--17,166
2018,Male,18--20,30
2018,Male,21--23,25
2018,Male,24--26,28
2018,Male,27--29,15
2018,Male,30--38,67
2018,Male,39--47,33
2018,Male,48+,32

